Carrier Code,Dep City Code,Dep City Name,Arr City Code,Arr City Name,General Aircraft Code,General Aircraft Name,Specific Aircraft Code,Specific Aircraft Name,Seats,Stopping City,GCD (km),Frequency,Seats (Total),Time series
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","789","Boeing 787-9","246","0","5354","1","246","2019-06-01"
"NH","TYO","Tokyo","SIN","Singapore","777","Boeing 777 Passenger","77W","Boeing 777-300ER Passenger","250","0","5354","5","1250","2019-10-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","215","0","5296","28","6020","2019-02-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","215","0","5296","31","6665","2019-05-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","215","0","5354","28","6020","2019-02-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","215","0","5354","34","7310","2019-05-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","246","0","5296","32","7872","2019-03-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","246","0","5354","32","7872","2019-03-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","246","0","5354","1","246","2019-06-01"
"NZ","AKL","Auckland","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","275","0","8404","22","6050","2019-06-01"
"NZ","AKL","Auckland","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","275","0","8404","20","5500","2019-09-01"
"NZ","AKL","Auckland","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","275","0","8404","24","6600","2019-12-01"
"NZ","AKL","Auckland","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","302","0","8404","33","9966","2019-08-01"
"NZ","AKL","Auckland","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","302","0","8404","4","1208","2019-11-01"
"NZ","SIN","Singapore","AKL","Auckland","787","Boeing 787","789","Boeing 787-9","275","0","8404","22","6050","2019-06-01"
"NZ","SIN","Singapore","AKL","Auckland","787","Boeing 787","789","Boeing 787-9","275","0","8404","20","5500","2019-09-01"
"NZ","SIN","Singapore","AKL","Auckland","787","Boeing 787","789","Boeing 787-9","275","0","8404","24","6600","2019-12-01"
"NZ","SIN","Singapore","AKL","Auckland","787","Boeing 787","789","Boeing 787-9","302","0","8404","33","9966","2019-08-01"
"NZ","SIN","Singapore","AKL","Auckland","787","Boeing 787","789","Boeing 787-9","302","0","8404","4","1208","2019-11-01"
"OD","BKI","Kota Kinabalu","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","1431","18","2916","2019-01-01"
"OD","KUL","Kuala Lumpur","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","296","121","19602","2019-10-01"
"OD","KUL","Kuala Lumpur","SIN","Singapore","737","Boeing 737 Passenger","739","Boeing 737-900 Passenger","180","0","296","5","900","2019-05-01"
"OD","KUL","Kuala Lumpur","SIN","Singapore","737","Boeing 737 Passenger","739","Boeing 737-900 Passenger","180","0","296","2","360","2019-08-01"
"MU","SIN","Singapore","JJN","Quanzhou","32S","Airbus A318/319/320/321","320","Airbus A320","156","0","3038","18","2808","2019-10-01"
"MU","SIN","Singapore","KMG","Kunming","737","Boeing 737 Passenger","737","Boeing 737 Passenger","174","0","2641","13","2262","2019-07-01"
"MU","SIN","Singapore","KMG","Kunming","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","168","0","2641","13","2184","2019-11-01"
"MU","SIN","Singapore","KMG","Kunming","737","Boeing 737 Passenger","73H","Boeing 737-800 (winglets) Passenger","160","0","2641","13","2080","2019-01-01"
"MU","SIN","Singapore","SHA","Shanghai","330","Airbus A330","332","Airbus A330-200","230","0","3803","6","1380","2019-12-01"
"MU","SIN","Singapore","SHA","Shanghai","330","Airbus A330","332","Airbus A330-200","232","0","3803","50","11600","2019-10-01"
"MU","SIN","Singapore","SHA","Shanghai","330","Airbus A330","333","Airbus A330-300","292","0","3803","13","3796","2019-03-01"
"MU","SIN","Singapore","SHA","Shanghai","330","Airbus A330","333","Airbus A330-300","292","0","3803","6","1752","2019-06-01"
"MU","SIN","Singapore","SHA","Shanghai","777","Boeing 777 Passenger","773","Boeing 777-300 Passenger","314","0","3803","1","314","2019-07-01"
"NH","SIN","Singapore","TYO","Tokyo","777","Boeing 777 Passenger","77W","Boeing 777-300ER Passenger","250","0","5354","30","7500","2019-01-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","781","Boeing 787-10","294","0","5354","23","6762","2019-05-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","781","Boeing 787-10","294","0","5354","18","5292","2019-08-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","788","Boeing 787-8","184","0","5354","1","184","2019-09-01"
